GISJOIN,YEAR,STATE,TRACTA,race_white,race_black,race_american_indian_eskimo_aleut,race_asian_pacific_islander,race_other,housing_occupied,housing_vacant,year_built_1989_to_1990,year_built_1985_to_1988,year_built_1980_to_1984,year_built_1970_to_1979,year_built_1960_to_1969,year_built_1950_to_1959,year_built_1940_to_1949,year_built_1939_or_earlier,total_above_poverty,total_below_poverty,total_poverty_determined,poverty_rate,total_housing_units,occupancy_rate,avg_home_value_1990,2019-23_value,home_value_ratio_2019_23_to_1990
G06000104067,1990,California,4067,3125,583,56,1085,165,2021,99,5,40,20,38,250,330,617,820,4703,225,4928,0.045657467532467536,2120,0.9533018867924529,236178.22966507176,1167100,4.941607029805769
G06000104068,1990,California,4068,1967,575,5,950,69,1388,68,0,22,15,39,228,220,368,564,3404,147,3551,0.04139678963672205,1456,0.9532967032967034,215688.91280947256,934600,4.33309245165315
G06000104069,1990,California,4069,1931,760,0,746,43,1400,83,0,78,71,123,275,228,258,450,3177,303,3480,0.08706896551724137,1483,0.9440323668240054,218020.1765447667,1068600,4.901381225056395
G06000104070,1990,California,4070,1669,1861,54,1582,874,2045,122,83,0,63,161,335,269,531,725,5061,790,5851,0.1350196547598701,2167,0.9437009690816798,127463.92496392496,726300,5.698082812102001
G06000104071,1990,California,4071,1678,2605,162,1207,1870,2345,101,30,12,0,215,249,387,513,1040,5970,1510,7480,0.2018716577540107,2446,0.9587080948487327,124632.67543859649,752900,6.040951920116131
G06000104071,1990,California,4071,1678,2605,162,1207,1870,2345,101,30,12,0,215,249,387,513,1040,5970,1510,7480,0.2018716577540107,2446,0.9587080948487327,124632.67543859649,685600,5.500965116790569
G06000104072,1990,California,4072,1848,943,97,945,2517,1704,108,0,48,111,62,246,183,415,747,4742,1410,6152,0.22919375812743822,1812,0.9403973509933775,122639.86013986015,634000,5.169607982893798
G06000104073,1990,California,4073,777,537,31,223,343,574,70,0,0,26,0,47,18,150,403,1510,395,1905,0.2073490813648294,644,0.8913043478260869,91491.03139013454,570300,6.233397867908344
G06000104074,1990,California,4074,503,1841,65,395,836,1134,67,0,0,57,55,135,196,281,477,2631,986,3617,0.27260160353884433,1201,0.9442131557035803,98268.156424581,623800,6.3479363274587834
G06000104075,1990,California,4075,507,2230,27,487,561,1141,125,41,12,29,121,261,192,287,323,2748,920,3668,0.25081788440567065,1266,0.9012638230647709,103148.90710382514,556100,5.391235017548507
G06000104076,1990,California,4076,1150,3404,115,684,848,2054,107,10,232,0,100,286,239,473,821,5017,1038,6055,0.17142857142857143,2161,0.950485886163813,132041.4201183432,820000,6.21017252968855
G06000104077,1990,California,4077,1129,3143,22,260,238,1797,68,0,21,9,14,69,150,442,1160,4275,480,4755,0.10094637223974763,1865,0.9635388739946381,151765.40284360189,864400,5.695632758216879
G06000104078,1990,California,4078,969,1221,14,256,35,730,31,5,0,8,12,43,198,186,309,1764,199,1963,0.10137544574630668,761,0.9592641261498029,158479.12524850894,899900,5.678350373204542
G06000104079,1990,California,4079,1601,719,0,487,105,1131,44,0,0,5,49,96,216,413,396,2653,181,2834,0.06386732533521525,1175,0.9625531914893617,208205.69620253163,1030500,4.949432310428161
G06000104080,1990,California,4080,1495,151,34,321,16,764,29,22,51,26,75,188,314,82,35,1772,30,1802,0.016648168701442843,793,0.9634300126103404,318030.19145802653,1209900,3.8043557891568356
G06000104081,1990,California,4081,2842,1859,12,1079,109,2288,77,59,596,130,285,772,390,102,31,5624,277,5901,0.04694119640738858,2365,0.9674418604651163,369549.0716180371,1115200,3.0177318403674995
G06000104082,1990,California,4082,886,2959,21,175,112,1661,107,60,218,6,162,172,224,400,526,3647,456,4103,0.111138191567146,1768,0.9394796380090498,148709.45945945947,883500,5.941114998409741
G06000104083,1990,California,4083,1406,2740,33,188,150,1722,82,0,46,32,89,204,299,607,527,4019,474,4493,0.10549744046294235,1804,0.9545454545454546,156183.61836183618,817300,5.232943176579068
G06000104084,1990,California,4084,236,2889,15,73,186,1189,124,0,20,41,112,366,187,157,430,2390,990,3380,0.29289940828402367,1313,0.9055597867479056,100881.44329896907,604100,5.988217260231976
G06000104085,1990,California,4085,253,3724,0,153,443,1536,107,0,35,84,75,208,403,280,558,3550,968,4518,0.21425409473218238,1643,0.9348752282410225,106314.36314363143,589300,5.54299515676778
G06000104086,1990,California,4086,379,3788,0,192,294,1615,115,0,45,72,98,174,306,419,616,3500,1102,4602,0.23946110386788352,1730,0.9335260115606936,100937.12930011863,601900,5.963117875190974
G06000104087,1990,California,4087,735,4656,0,350,861,2236,150,16,43,75,96,165,294,706,991,5025,1501,6526,0.23000306466441925,2386,0.9371332774518022,105903.79008746355,651400,6.150865794907089
G06000104088,1990,California,4088,311,3340,0,639,462,1547,136,5,69,41,19,327,497,441,284,2906,1835,4741,0.3870491457498418,1683,0.9191919191919192,83102.47747747747,552900,6.65323124872959
G06000104089,1990,California,4089,82,2322,0,134,362,957,94,0,205,201,66,212,79,118,170,2144,732,2876,0.2545201668984701,1051,0.9105613701236918,89624.12587412588,478300,5.3367326636106505
G06000104090,1990,California,4090,187,2706,0,59,71,996,61,0,90,30,13,137,138,538,111,2250,754,3004,0.25099866844207724,1057,0.9422894985808893,82547.31861198739,548300,6.642250883729817
G06000104091,1990,California,4091,84,1822,9,0,21,586,41,0,8,9,35,30,150,364,31,1722,214,1936,0.11053719008264463,627,0.9346092503987241,78094.95192307692,517600,6.627829165063486
G06000104092,1990,California,4092,112,2111,0,357,156,813,61,0,0,42,44,149,150,476,13,1992,721,2713,0.2657574640619241,874,0.9302059496567505,93805.36130536131,590000,6.289619183698826
G06000104093,1990,California,4093,523,3161,9,161,751,1405,90,4,0,61,93,226,275,561,275,3596,1004,4600,0.2182608695652174,1495,0.939799331103679,101949.35691318328,555300,5.446821998817268
G06000104094,1990,California,4094,274,2487,0,126,780,1058,89,0,32,54,66,136,180,292,387,2691,963,3654,0.26354679802955666,1147,0.9224062772449869,88464.46700507615,633800,7.164458470807631
G06000104095,1990,California,4095,313,1793,35,125,420,797,174,22,6,41,39,153,276,210,224,2013,650,2663,0.244085617724371,971,0.8208032955715757,81505.76368876081,474800,5.82535490144082
G06000104096,1990,California,4096,295,3491,9,133,504,1425,111,0,19,78,14,284,323,387,431,3039,1389,4428,0.3136856368563686,1536,0.927734375,100895.45454545454,524500,5.198450241023562
G06000104097,1990,California,4097,268,3729,29,194,279,1493,199,0,53,0,58,333,421,324,503,3130,1326,4456,0.2975763016157989,1692,0.8823877068557919,99109.375,557600,5.6261075201008985
G06000104098,1990,California,4098,363,2529,92,76,22,1091,76,19,12,9,27,205,396,293,206,2535,537,3072,0.1748046875,1167,0.9348757497857755,170899.20948616602,910100,5.3253610870193695
G06000104099,1990,California,4099,1742,2132,7,260,60,1427,32,14,25,72,242,442,486,140,38,3747,96,3843,0.02498048399687744,1459,0.978067169294037,277066.37168141594,1048100,3.7828481083411853
G06000104100,1990,California,4100,1292,1284,9,111,24,1093,25,0,6,8,59,333,278,314,120,2623,67,2690,0.02490706319702602,1118,0.9776386404293381,261358.33333333334,1056200,4.041195038739916
G06000104101,1990,California,4101,390,2167,20,124,94,942,52,0,86,59,50,117,122,284,276,2401,367,2768,0.13258670520231214,994,0.9476861167002012,140976.4918625678,747500,5.302302462801436
G06000104102,1990,California,4102,275,2455,29,140,233,1065,72,0,74,81,71,187,154,385,185,2612,501,3113,0.1609380019274012,1137,0.9366754617414248,111608.4229390681,618100,5.538112480430332
G06000104103,1990,California,4103,244,2263,17,64,405,925,77,0,85,17,104,163,234,255,144,2242,735,2977,0.24689284514612025,1002,0.9231536926147704,101216.93121693122,608200,6.0088761108207
G06000104104,1990,California,4104,557,1884,4,133,312,1049,41,0,56,0,8,85,260,265,416,2619,271,2890,0.09377162629757785,1090,0.9623853211009175,118982.93029871977,658100,5.5310454898678945
G06000104201,1990,California,4201,1589,39,0,403,9,886,37,0,0,0,0,26,85,198,614,1887,143,2030,0.07044334975369458,923,0.9599133261105092,263341.1580594679,1294400,4.915296984103402
G06000104202,1990,California,4202,1872,176,22,411,54,1223,50,0,115,14,96,176,158,224,490,2201,325,2526,0.12866191607284244,1273,0.9607227022780833,223404.6961325967,1069900,4.789066740857522
G06000104203,1990,California,4203,2793,336,23,856,101,1963,116,13,262,133,560,191,248,241,431,3694,368,4062,0.09059576563269325,2079,0.9442039442039442,248335.020242915,618700,2.4913924721322163
G06000104203,1990,California,4203,2793,336,23,856,101,1963,116,13,262,133,560,191,248,241,431,3694,368,4062,0.09059576563269325,2079,0.9442039442039442,248335.020242915,1102800,4.440775203276885
G06000104205,1990,California,4205,1614,104,0,268,35,895,64,0,0,0,28,124,125,149,533,1856,160,2016,0.07936507936507936,959,0.9332638164754953,215497.2375690608,1210600,5.6177054223817455
G06000104206,1990,California,4206,2401,193,0,402,91,1308,0,0,0,15,6,44,92,145,1006,2934,153,3087,0.04956268221574344,1308,1.0,255646.408839779,1466900,5.738003544260028
G06000104211,1990,California,4211,1736,68,0,208,22,818,8,0,13,5,12,57,129,180,430,1982,52,2034,0.025565388397246803,826,0.9903147699757869,376567.2205438067,1641000,4.357787694930551
G06000104212,1990,California,4212,3266,91,20,266,12,1415,46,0,9,0,10,53,115,95,1179,3566,82,3648,0.022478070175438597,1461,0.9685147159479809,410420.08196721313,1987700,4.84308660159273
G06000104213,1990,California,4213,3316,130,18,401,8,1665,42,0,0,0,22,57,107,103,1418,3594,263,3857,0.06818771065595022,1707,0.9753954305799648,311937.30529595015,1516900,4.8628361348471705
G06000104214,1990,California,4214,1438,57,11,172,18,643,16,0,8,0,0,0,17,24,610,1551,145,1696,0.08549528301886793,659,0.9757207890743551,369189.453125,1641200,4.445414098664198
G06000104215,1990,California,4215,3079,107,0,232,51,1493,62,0,16,17,76,160,411,181,694,3326,92,3418,0.026916325336454067,1555,0.9601286173633441,371147.936786655,1598900,4.307985688518288
G06000104216,1990,California,4216,3269,107,0,349,10,1679,65,7,5,38,41,149,354,337,813,3506,229,3735,0.06131191432396252,1744,0.9627293577981652,382919.7247706422,1375000,3.5908309524237363
G06000104217,1990,California,4217,2341,73,18,432,26,1543,88,6,7,9,100,290,146,160,913,2553,337,2890,0.11660899653979238,1631,0.9460453709380748,293063.5838150289,1211400,4.1335739644970415
G06000104218,1990,California,4218,1605,170,6,268,4,884,22,10,6,0,0,28,72,89,701,1896,131,2027,0.0646275283670449,906,0.9757174392935982,251053.37078651684,1559500,6.211826573426574
G06000104219,1990,California,4219,2037,772,34,617,159,1668,83,0,0,0,14,162,255,417,903,3243,363,3606,0.10066555740432612,1751,0.952598515134209,201151.7165005537,1212200,6.026297071129707
G06000104220,1990,California,4220,844,663,0,237,107,616,32,0,32,57,0,66,24,222,247,1211,640,1851,0.3457590491626148,648,0.9506172839506173,140883.45864661655,944300,6.702703135423615
G06000104221,1990,California,4221,1049,807,5,192,496,1045,80,0,28,6,18,122,90,336,525,2128,413,2541,0.162534435261708,1125,0.9288888888888889,139908.4051724138,1012200,7.234733315361805
G06000104222,1990,California,4222,1601,815,12,583,158,1544,58,0,12,19,0,180,250,290,851,2527,628,3155,0.19904912836767036,1602,0.9637952559300874,181621.16040955632,1194300,6.575775627172789
G06000104223,1990,California,4223,2157,192,11,511,38,1484,74,0,33,5,79,220,198,275,748,2589,320,2909,0.11000343760742523,1558,0.9525032092426188,224500.0,1436800,6.4
G06000104224,1990,California,4224,2243,245,0,810,88,1945,106,29,0,101,109,516,126,229,941,2518,856,3374,0.25370480142264373,2051,0.9483178937103852,283992.2480620155,1247100,4.391317046540194
G06000104225,1990,California,4225,2901,146,7,627,158,1591,105,6,0,14,21,195,252,125,1083,2167,727,2894,0.251209398756047,1696,0.9380896226415094,345988.80597014923,1148200,3.3186044755998925
G06000104227,1990,California,4227,3292,46,47,811,270,1022,44,10,5,0,50,248,158,150,445,1408,850,2258,0.37643932683790965,1066,0.9587242026266416,428088.23529411765,1223200,2.8573548608725523
G06000104230,1990,California,4230,2405,682,44,683,109,1789,125,0,0,0,44,170,125,225,1350,3272,576,3848,0.1496881496881497,1914,0.9346917450365726,201949.3006993007,1294100,6.408043976972688
G06000104231,1990,California,4231,1827,1201,48,413,288,1761,89,0,0,75,10,289,194,444,838,3159,614,3773,0.16273522395971377,1850,0.9518918918918919,165217.5697865353,1160200,7.022255571843863
G06000104232,1990,California,4232,641,1332,10,254,262,984,83,0,18,22,97,75,178,140,537,1938,543,2481,0.218863361547763,1067,0.922211808809747,163966.43109540635,1255400,7.656445234631755
G06000104233,1990,California,4233,608,2371,17,201,127,1502,88,23,35,7,74,145,223,212,871,2873,425,3298,0.12886597938144329,1590,0.9446540880503145,157897.2602739726,1078700,6.83165748492604
G06000104234,1990,California,4234,1461,2459,22,343,214,1962,131,20,42,22,22,330,254,409,994,3664,789,4453,0.1771839209521671,2093,0.9374104156712852,169137.16814159293,1293400,7.647047743623283
